Wei Liu and Jun Wang and Sanjiv Kumar and Shih-Fu Chang	Hashing with Graphs
Wenliang Zhong and James Kwok	Efficient Sparse Modeling with Automatic Feature Grouping
Wei Bi and James Kwok	Multi-Label Classification on Tree- and DAG-Structured Hierarchies
Jingrui He and Rick Lawrence	A Graph-based Framework for Multi-Task Multi-View Learning
Tianyi Zhou and Dacheng Tao	GoDec: Randomized Low-rank & Sparse Matrix Decomposition in Noisy Case
Jia Yuan Yu and Shie Mannor	Unimodal Bandits
Francesco Dinuzzo and Cheng Soon Ong and Peter Gehler and Gianluigi Pillonetto	Learning Output Kernels with Block Coordinate Descent
Ha Quang Minh and Vikas Sindhwani	Vector-valued Manifold Regularization
Masashi Sugiyama and Makoto Yamada and Manabu Kimura and Hirotaka Hachiya	On Information-Maximization Clustering: Tuning Parameter Selection and Analytic Solution
Richard Nock and Brice Magdalou and Eric Briys and Frank Nielsen	On tracking portfolios with certainty equivalents on a generalization of Markowitz model: the Fool, the Wise and the Adaptive
Boris Babenko and Nakul Verma and Piotr Dollar and Serge Belongie	Multiple Instance Learning with Manifold Bags
Yi Jiang and Jiangtao Ren	Eigenvalue Sensitive Feature Selection
Jiang Su and Jelber Sayyad Shirab and Stan Matwin	Large Scale Text Classification using Semi-supervised Multinomial Naive Bayes
KyungHyun Cho and Tapani Raiko and Alexander Ilin	Enhanced Gradient and Adaptive Learning Rate for Training Restricted Boltzmann Machines
Daniel Tarlow and Dhruv Batra and Pushmeet Kohli and Vladimir Kolmogorov	Dynamic Tree Block Coordinate Ascent
Michael Mahoney and Lorenzo Orecchia	Implementing regularization implicitly via approximate eigenvector computation
Richard Socher and Cliff Chiung-Yu Lin and Andrew Ng and Chris Manning	Parsing Natural Scenes and Natural Language with Recursive Neural Networks
Philip Thomas and Andrew Barto	Conjugate Markov Decision Processes
Tyler Lu and Craig Boutilier	Learning Mallows Models with Pairwise Preferences
Clayton Scott	Surrogate losses and regret bounds for cost-sensitive classification with example-dependent costs
Pratik Jawanpuria and Saketha Nath Jagarlapudi and Ganesh Ramakrishnan	Efficient Rule Ensemble Learning using Hierarchical Kernels
Andre Martins and Mario Figueiredo and Pedro Aguiar and Noah Smith and Eric Xing	An Augmented Lagrangian Approach to Constrained MAP Inference
Shie Mannor and John Tsitsiklis	Mean-Variance Optimization in Markov Decision Processes
Lei Li and B. Aditya Prakash	Time Series Clustering: Complex is Simpler!
Stephen Gould	Max-margin Learning for Lower Linear Envelope Potentials in Binary Markov Random Fields
Alexander Clark	Inference of Inversion Transduction Grammars
En-Liang Hu and Bo Wang and SongCan Chen	BCDNPKL: Scalable Non-Parametric Kernel Learning Using Block Coordinate Descent
Laurens Van der Maaten	Learning Discriminative Fisher Kernels
Samory Kpotufe and Ulrike von Luxburg	Pruning nearest neighbor cluster trees
Peilin Zhao and Steven Hoi and Rong Jin and Tianbao Yang	Online AUC Maximization
Yisong Yue and Thorsten Joachims	Beat the Mean Bandit
Francesco Orabona and Luo Jie	Ultra-Fast Optimization Algorithm for Sparse Multi Kernel Learning
Brian Potetz	Estimating the Bayes Point Using Linear Knapsack Problems
Quoc Le and Jiquan Ngiam and Adam Coates and Ahbik Lahiri and Bobby Prochnow and Andrew Ng	On optimization methods for deep learning
Koby Crammer and Claudio Gentile	Multiclass Classification with Bandit Feedback using Adaptive Regularization
Dave Helmbold and Phil Long	On the Necessity of Irrelevant Variables
Simon Barthelm\'{e} and Nicolas Chopin	ABC-EP: Expectation Propagation for Likelihood-free Bayesian Computation
Pascal Germain and Alexandre Lacoste and Francois Laviolette and Mario Marchand and Sara Shanian	A PAC-Bayes Sample-compression Approach to Kernel Methods
