Abernethy, Jacob and Amin, Kareem and Kearns, Michael and Draief, Moez	Large-Scale Bandit Problems and {KWIK} Learning
Afkanpour, Arash and György, András and Szepesvari, Csaba and Bowling, Michael	A Randomized Mirror Descent Algorithm for Large Scale Multiple Kernel Learning
Agarwal, Alekh	Selective sampling algorithms for cost-sensitive multiclass prediction
Agrawal, Shipra and Goyal, Navin	Thompson Sampling for Contextual Bandits with Linear Payoffs
Ahmed, Amr and Hong, Liangjie and Smola, Alexander	Nested Chinese Restaurant Franchise Process:  Applications to User Tracking and Document Modeling
Ailon, Nir and Chen, Yudong and Xu, Huan	Breaking the Small Cluster Barrier of Graph Clustering
Alain, Droniou and Olivier, Sigaud	Gated Autoencoders with Tied Input Weights
Allen Zhu, Zeyuan and Lattanzi, Silvio and Mirrokni, Vahab	A Local Algorithm for Finding Well-Connected Clusters
Almingol, Javier and Montesano, Lui and Lopes, Manuel	Learning Multiple Behaviors from Unlabeled Demonstrations in a Latent Controller Space
Anandkumar, Animashree and Hsu, Daniel and Javanmard, Adel and Kakade, Sham	Learning Linear Bayesian Networks with Latent Variables
Andrew, Galen and Arora, Raman and Bilmes, Jeff and Livescu, Karen	Deep Canonical Correlation Analysis
Appel, Ron and Fuchs, Thomas and Dollar, Piotr and Perona, Pietro	Quickly Boosting Decision Trees -- Pruning Underachieving Features Early
Arora, Sanjeev and Ge, Rong and Halpern, Yonatan and Mimno, David and Moitra, Ankur and Sontag, David and Wu, Yichen and Zhu, Michael	A Practical Algorithm for Topic Modeling with Provable Guarantees
Ávila Pires, Bernardo and Szepesvari, Csaba and Ghavamzadeh, Mohammad	Cost-sensitive Multiclass Classification Risk Bounds
Avron, Haim and Boutsidis, Christos and Toledo, Sivan and Zouzias, Anastasios	Efficient Dimensionality Reduction for  Canonical Correlation Analysis
Baktashmotlagh, Mahsa and Harandi, Mehrtash and Bigdeli, Abbas and Lovell, Brian and Salzmann, Mathieu	Non-Linear Stationary Subspace Analysis with Application to Video Classification
Balasubramanian, Krishnakumar and Yu, Kai and Lebanon, Guy	Smooth Sparse Coding via Marginal Regression for Learning Sparse Representations
Balcan, Nina and Berlind, Christopher and Ehrlich, Steven and Liang, Yingyu	Efficient Semi-supervised and Active Learning of Disjunctions
Balcan, Nina and Blum, Avrim and Mansour, Yishay	Exploiting Ontology Structures and Unlabeled Data for Learning
Bardenet, Rémi and Brendel, Mátyás and Kégl, Balázs and Sebag, Michèle	Collaborative hyperparameter tuning
Bellemare, Marc and Veness, Joel and Bowling, Michael	Bayesian Learning of Recursively Factored Environments
